SeasonId,Trimester,EventId,StartDate,EndDate,FirstCompetitionDate,Description,EventSeriesNr,ShortDescription,Altitude,OrganizerId,Organizer,OrganizerColor,Nat,NatLong,MedalSetId,EventClassificationId,Level,UTCOffset,IsActual,IsCurrent,EventStatusId,EventStatus,Notes,updated_at
5960,null,BT5960SWRLOG__,1960-02-18,1960-02-28,1960-02-21,Olympic Winter Games,null,Squaw Valley,1890,SQV,Squaw Valley,null,USA,USA,null,BTSWRLOG,1,null,false,false,0,null,null,2026-01-26
6364,null,BT6364SWRLOG__,1964-01-29,1964-02-09,1964-02-04,Olympic Winter Games,null,Innsbruck,1200,INN,Innsbruck,null,AUT,AUSTRIA,null,BTSWRLOG,1,null,false,false,0,null,null,2026-01-26
6768,null,BT6768SWRLOG__,1968-02-06,1968-02-18,1968-02-12,Olympic Winter Games,null,Grenoble,1050,GRE,Grenoble,null,FRA,FRANCE,null,BTSWRLOG,1,null,false,false,0,null,null,2026-01-26
7172,null,BT7172SWRLOG__,1972-02-03,1972-02-13,1972-02-09,Olympic Winter Games,null,Sapporo,250,SAP,Sapporo,null,JPN,JAPAN,null,BTSWRLOG,1,null,false,false,0,null,null,2026-01-26
7576,null,BT7576SWRLOG__,1976-02-04,1976-02-15,1976-02-06,Olympic Winter Games,null,Innsbruck,1200,INN,Innsbruck,null,AUT,AUSTRIA,null,BTSWRLOG,1,null,false,false,0,null,null,2026-01-26
7980,null,BT7980SWRLOG__,1980-02-13,1980-02-24,1980-02-16,Olympic Winter Games,null,Lake Placid,500,LPL,Lake Placid,null,USA,USA,null,BTSWRLOG,1,null,false,false,0,null,null,2026-01-26
